Data Report,,,,
 File is created on: 2025-07-09 09:11:03,,,,
,,,,
Device Information,,,,
Model,GSP-6G,,Logging Interval,0H 15M 0S
Total Space,16000,,Button Stop,Enable
Start Time,2025-07-07 13:04:05,,Temperature Unit,℃
Storage Mode,Stop when full,,Alarm Tone,Disable
Button Tone,Disable,, Auto-shorten Interval ,Disable
Trip Description,,,,
S/N,EFG212108221,,,
Trip Description,GSP-6G temperature humidity Data Logger,,,
Alarm,,,,Alarm Status
H1:  60.0℃,,,,Normal
Ideal Zone,,,,
L1:  -30.0℃,,,,Normal
H1:,,,,
Ideal Zone,,,,
L1:,,,,
Summary,,,,
Max,23.5℃/58.8%RH,,First Reading,2025-07-07 13:04:05
Min,20.6℃/54.6%RH,,Last Reading,2025-07-09 09:04:05
Avg,20.9℃/57.6%RH,,Logging Duration,1D 20H 0M 0S
MKT,0.0℃,,Total Memory,177
First Alarm at (Temperature),N/A,,Current Readings,177
First Alarm at (Humidity),2025-07-07 13:04:05,,,
No.,Time,Temp℃,Humi%RH,
1,2025-07-07 13:04:05,23.5,54.6,
2,2025-07-07 13:19:05,21.0,57.2,
3,2025-07-07 13:34:05,21.0,57.3,
4,2025-07-07 13:49:05,21.0,57.4,
5,2025-07-07 14:04:05,21.0,57.5,
6,2025-07-07 14:19:05,21.1,58.0,
7,2025-07-07 14:34:05,21.1,57.7,
8,2025-07-07 14:49:05,21.1,57.6,
9,2025-07-07 15:04:05,21.1,57.4,
10,2025-07-07 15:19:05,21.1,57.5,
11,2025-07-07 15:34:05,21.1,57.5,
12,2025-07-07 15:49:05,21.1,57.5,
13,2025-07-07 16:04:05,21.1,57.4,
14,2025-07-07 16:19:05,21.2,57.5,
15,2025-07-07 16:34:05,21.2,57.4,
16,2025-07-07 16:49:05,21.2,57.5,
17,2025-07-07 17:04:05,21.1,57.5,
18,2025-07-07 17:19:05,21.2,58.6,
19,2025-07-07 17:34:05,21.2,57.4,
20,2025-07-07 17:49:05,21.2,57.6,
21,2025-07-07 18:04:05,21.2,57.7,
22,2025-07-07 18:19:05,21.2,57.8,
23,2025-07-07 18:34:05,21.2,56.9,
24,2025-07-07 18:49:05,21.1,56.8,
25,2025-07-07 19:04:05,21.2,57.0,
26,2025-07-07 19:19:05,21.2,56.9,
27,2025-07-07 19:34:05,21.1,57.0,
28,2025-07-07 19:49:05,21.0,57.0,
29,2025-07-07 20:04:05,21.1,57.2,
30,2025-07-07 20:19:05,21.0,57.4,
31,2025-07-07 20:34:05,20.9,57.3,
32,2025-07-07 20:49:05,21.0,57.5,
33,2025-07-07 21:04:05,21.0,57.6,
34,2025-07-07 21:19:05,20.9,57.6,
35,2025-07-07 21:34:05,20.9,57.6,
36,2025-07-07 21:49:05,20.9,57.6,
37,2025-07-07 22:04:05,20.9,57.8,
38,2025-07-07 22:19:05,20.9,57.8,
39,2025-07-07 22:34:05,20.8,58.0,
40,2025-07-07 22:49:05,20.9,58.1,
41,2025-07-07 23:04:05,20.8,57.8,
42,2025-07-07 23:19:05,20.9,57.9,
43,2025-07-07 23:34:05,20.9,57.7,
44,2025-07-07 23:49:05,20.9,58.2,
45,2025-07-08 00:04:05,20.8,58.0,
46,2025-07-08 00:19:05,20.9,58.0,
47,2025-07-08 00:34:05,20.7,57.9,
48,2025-07-08 00:49:05,20.7,58.1,
49,2025-07-08 01:04:05,20.8,58.0,
50,2025-07-08 01:19:05,20.8,58.3,
51,2025-07-08 01:34:05,20.7,58.2,
52,2025-07-08 01:49:05,20.8,58.1,
53,2025-07-08 02:04:05,20.8,58.2,
54,2025-07-08 02:19:05,20.7,58.4,
55,2025-07-08 02:34:05,20.7,58.4,
56,2025-07-08 02:49:05,20.8,58.6,
57,2025-07-08 03:04:05,20.7,58.6,
58,2025-07-08 03:19:05,20.7,58.3,
59,2025-07-08 03:34:05,20.7,58.2,
60,2025-07-08 03:49:05,20.7,58.2,
61,2025-07-08 04:04:05,20.7,58.0,
62,2025-07-08 04:19:05,20.6,58.1,
63,2025-07-08 04:34:05,20.7,58.1,
64,2025-07-08 04:49:05,20.7,58.2,
65,2025-07-08 05:04:05,20.7,58.1,
66,2025-07-08 05:19:05,20.7,58.0,
67,2025-07-08 05:34:05,20.7,58.1,
68,2025-07-08 05:49:05,20.7,58.2,
69,2025-07-08 06:04:05,20.6,58.2,
70,2025-07-08 06:19:05,20.7,58.2,
71,2025-07-08 06:34:05,20.7,58.2,
72,2025-07-08 06:49:05,20.7,58.3,
73,2025-07-08 07:04:05,20.6,58.5,
74,2025-07-08 07:19:05,20.6,58.4,
75,2025-07-08 07:34:05,20.6,58.5,
76,2025-07-08 07:49:05,20.6,58.4,
77,2025-07-08 08:04:05,20.7,58.4,
78,2025-07-08 08:19:05,20.6,58.4,
79,2025-07-08 08:34:05,20.7,58.3,
80,2025-07-08 08:49:05,20.6,58.4,
81,2025-07-08 09:04:05,20.7,58.6,
82,2025-07-08 09:19:05,20.7,58.7,
83,2025-07-08 09:34:05,20.7,58.8,
84,2025-07-08 09:49:05,20.7,58.6,
85,2025-07-08 10:04:05,20.7,58.3,
86,2025-07-08 10:19:05,20.7,58.2,
87,2025-07-08 10:34:05,20.8,58.3,
88,2025-07-08 10:49:05,20.8,58.8,
89,2025-07-08 11:04:05,20.7,58.3,
90,2025-07-08 11:19:05,20.8,58.2,
91,2025-07-08 11:34:05,20.7,58.2,
92,2025-07-08 11:49:05,20.8,57.7,
93,2025-07-08 12:04:05,20.8,57.6,
94,2025-07-08 12:19:05,20.9,57.9,
95,2025-07-08 12:34:05,20.9,58.2,
96,2025-07-08 12:49:05,20.9,58.0,
97,2025-07-08 13:04:05,20.9,57.7,
98,2025-07-08 13:19:05,20.9,57.5,
99,2025-07-08 13:34:05,21.0,57.5,
100,2025-07-08 13:49:05,21.0,57.1,
101,2025-07-08 14:04:05,20.9,57.2,
102,2025-07-08 14:19:05,21.0,57.4,
103,2025-07-08 14:34:05,21.0,57.6,
104,2025-07-08 14:49:05,21.0,57.5,
105,2025-07-08 15:04:05,21.1,56.8,
106,2025-07-08 15:19:05,21.2,57.1,
107,2025-07-08 15:34:05,21.1,57.3,
108,2025-07-08 15:49:05,21.1,57.0,
109,2025-07-08 16:04:05,21.2,57.3,
110,2025-07-08 16:19:05,21.2,57.3,
111,2025-07-08 16:34:05,21.2,57.0,
112,2025-07-08 16:49:05,21.3,56.8,
113,2025-07-08 17:04:05,21.3,56.7,
114,2025-07-08 17:19:05,21.3,56.6,
115,2025-07-08 17:34:05,21.3,56.5,
116,2025-07-08 17:49:05,21.4,56.5,
117,2025-07-08 18:04:05,21.4,56.4,
118,2025-07-08 18:19:05,21.3,56.6,
119,2025-07-08 18:34:05,21.2,56.7,
120,2025-07-08 18:49:05,21.4,56.6,
121,2025-07-08 19:04:05,21.3,56.7,
122,2025-07-08 19:19:05,21.2,57.1,
123,2025-07-08 19:34:05,21.2,57.2,
124,2025-07-08 19:49:05,21.3,57.1,
125,2025-07-08 20:04:05,21.2,57.0,
126,2025-07-08 20:19:05,21.1,56.9,
127,2025-07-08 20:34:05,21.2,56.9,
128,2025-07-08 20:49:05,21.2,57.0,
129,2025-07-08 21:04:05,21.1,57.1,
130,2025-07-08 21:19:05,21.0,57.3,
131,2025-07-08 21:34:05,21.2,57.4,
132,2025-07-08 21:49:05,21.1,57.5,
133,2025-07-08 22:04:05,21.0,57.7,
134,2025-07-08 22:19:05,21.0,57.6,
135,2025-07-08 22:34:05,21.0,57.5,
136,2025-07-08 22:49:05,21.0,57.6,
137,2025-07-08 23:04:05,21.0,57.6,
138,2025-07-08 23:19:05,21.0,57.7,
139,2025-07-08 23:34:05,21.0,57.4,
140,2025-07-08 23:49:05,20.9,57.6,
141,2025-07-09 00:04:05,21.0,57.5,
142,2025-07-09 00:19:05,21.0,57.5,
143,2025-07-09 00:34:05,20.9,57.9,
144,2025-07-09 00:49:05,21.0,57.7,
145,2025-07-09 01:04:05,21.0,57.9,
146,2025-07-09 01:19:05,21.0,57.7,
147,2025-07-09 01:34:05,21.0,57.9,
148,2025-07-09 01:49:05,20.9,57.7,
149,2025-07-09 02:04:05,20.9,57.4,
150,2025-07-09 02:19:05,20.9,57.5,
151,2025-07-09 02:34:05,20.9,57.4,
152,2025-07-09 02:49:05,20.9,57.6,
153,2025-07-09 03:04:05,20.9,57.6,
